"gene_name","protein_id","mrna_id","ccds_id","ec_num","trembl_id","swissprot_id"
"PCDH10","NP_065866.1","NM_020815.1","-","-","Q96SF0","-"
"PCDH10","NP_116586.1","NM_032961.1","34063.1","-","Q4W5F6;Q4W","Q9P2E7"
"PCNA","NP_002583.1","NM_002592.2","13087.1","-","-","P12004"
"PCNA","NP_872590.1","NM_182649.1","13087.1","-","-","P12004"
"PCNP","NP_065090.1","NM_020357.1","2942.1","-","-","Q8WW12"
"PDCD1","NP_005009.2","NM_005018.2","33428.1","-","Q15116","Q8IX89"
"PDCD4","NP_055271.2","NM_014456.3","7567.1","-","-","Q53EL6"
"PDCD4","NP_663314.1","NM_145341.2","44478.1","-","B5ME91","Q53EL6"
"PDGFRA","NP_006197.1","NM_006206.4","3495.1","2.7.10.1","-","P16234 "
"PDIA3","NP_005304.3","NM_005313.4","10101.1","5.3.4.1","-","P30101"
"PDK2","NP_002602.2","NM_002611.3","11559.1","2.7.11.2","-","Q15119"
"PEBP1","NP_002558.1","NM_002567.2","9187.1","-","-","P30086"
"PECAM1","NP_000433.3","NM_000442.3","-","-","-","P16284"
"PGR","NP_000917.3","NM_000926.4","8310.1","-","-","P06401"
"PHB","NP_002625.1","NM_002634.2","11548.1","-","A8K401","P35232"
"PIGF","NP_002634.1","NM_002643.3","1827.1","-","Q6IB04 ","Q07326 "
"PIGF","NP_775097.1","NM_173074.2","1828.1","-","-","Q07326 "
"PIGT","NP_057021.2","NM_015937.3","13353.1","-","-","Q969N2"
"PLAGL1","NP_001074420.1","NM_001080951.1","5202.1","-","A1YLA1","Q9UM63"
"PLAGL1","NP_001074421.1","NM_001080952.1","5202.1","-","A1YLA1","Q9UM63"
"PLAGL1","NP_001074422.1","NM_001080953.1","5202.1","-","A1YLA1","Q9UM63"
"PLAGL1","NP_001074424.1","NM_001080955.1","5202.1","-","A1YLA1","Q9UM63"
"PLAGL1","NP_001074425.1","NM_001080956.1","5203.1","-","A1YLA2","Q9UM63"
"PLAGL1","NP_001074423.1","NM_001080954.1","5202.1","-","A1YLA1","Q9UM63"
"PLAGL1","NP_002647.2","NM_002656.3","5203.1","-","-","Q9UM63"
"PLAGL1","NP_006709.2","NM_006718.3","5202.1","-","A1YLA1","Q9UM63"
"PLAT","NP_000921.1","NM_000930.3","6126.1","3.4.21.68","-","P00750 "
"PLAT","NP_127509.1","NM_033011.2","6127.1","3.4.21.68","-","P00750 "
"PLOD2","NP_000926.2","NM_000935.2","3131.1","1.14.11.4","Q59ED2 ","O00469 "
"PLOD2","NP_891988.1","NM_182943.2","3132.1","1.14.11.4","-","O00469 "
"PLP2","NP_002659.1","NM_002668.1","14319.1","-","-","Q04941"
"PLSCR1","NP_066928.1","NM_021105.2","3135.1","-","-","O15162 "
"POFUT1","NP_056167.1","NM_015352.1","13198.1"," 2.4.1.221","-","Q9H488"
"POFUT1","NP_758436.1","NM_172236.1","13199.1"," 2.4.1.221","-","Q9H488"
"POP5","NP_057002.2","NM_015918.3","9202.1","3.1.26.5","-","Q969H6"
"POP5","NP_937845.1","NM_198202.1","9203.1","3.1.26.5","A6NL80","Q969H6"
"POU2F3","NP_055167.2","NM_014352.2","8431.1","-","-","Q9UKI9"
"PPL","NP_002696.3","NM_002705.4","10526.1","-","-","O60437 "
"PPP1R3C","NP_005389.1","NM_005398.4","7416.1","-","-","Q9UQK1 "
"PPP2R1B","NP_002707.3","NM_002716.4","8349.1","3.1.3.16","-","P30154"
"PPP2R1B","NP_859050.1","NM_181699.2","8348.1","3.1.3.16","-","P30154"
"PRDM5","NP_061169.2","NM_018699.2","3716.1","-","-","Q9NQX1"
"PRR11","NP_060774.2","NM_018304.2","11614.1","-","-","Q96HE9 "
"PRSS2","NP_002761.1","NM_002770.2","-","3.4.21.4","Q5NV56 ","P07478 "
"PRSS3","NP_002762.2","NM_002771.3","6545.1","3.4.21.4","A8CED1;  Q","P35030 "
"PRSS3","NP_031369.2","NM_007343.2","47958.1","3.4.21.4","A8CED1 ","-"
"PSMB9","NP_002791.1","NM_002800.4","4759.1","3.4.25.1","Q5JNW4 ","P28065 "
"PTEN","NP_000305.3","NM_000314.4","-","3.1.3.16","-","P60484"
"PTGS2","NP_000954.1","NM_000963.2","1371.1","1.14.99.1\n","-","P35354 "
"PTK6","NP_005966.1","NM_005975.2","13524.1","2.7.10.2","-","Q13882 "
"PTPN6","NP_002822.2","NM_002831.5","44820.1","3.1.3.48","-","P29350"
"PTPN6","NP_536858.1","NM_080548.4","41744.1","3.1.3.48","Q53XS4","P29350"
"PTPN6","NP_536859.1","NM_080549.3","44821.1","3.1.3.48","Q9UK67","P29350"
"PTTG1","NP_004210.1","NM_004219.2","4353.1","-","Q6IAL9","O95997"
"PWP2H","NP_005040.2","NM_005049.2","33579.1","-","-","Q15269"
"RAF1","NP_002871.1","NM_002880.3","2612.1","2.7.11.1","-","P04049 "
"RALY","NP_031393.2","NM_007367.2","13229.1","-","-","Q9UKM9"
"RALY","NP_057951.1","NM_016732.1","13230.1","-","-","Q9UKM9"
"RAPGEF3","NP_001092001.1","NM_001098531.2","41775.1","-","Q99777 ","O95398 "
"RAPGEF3","NP_001092002.1","NM_001098532.2","31784.1","-","A8K2GS; Q9","-"
"RAPGEF3","NP_006096.2","NM_006105.5","31784.1","-","A8K245; Q9","-"
"RARA","NP_000955.1","NM_000964.2","11366.1","-","Q6I9R7","P10276"
"RARA","NP_001019980.1","NM_001024809.2","42317.1","-","-","P10276"
"RARA","NP_001138773.1","NM_001145301.1","11366.1","-","A8K840","P10276"
"RARA","NP_001138774.1","NM_001145302.1","45671.1","-","B8Y636","-"
"RARB","NP_000956.2","NM_000965.3","2642.1","-","-","P10826 "
"RARB","NP_057236.1","NM_016152.3","46775.1","-","Q5QHG3 ","P10826 "
"RARG","NP_000957.1","NM_000966.4","8850.1","-","A8K3H3","P13631"
"RARG","NP_001036193.1","NM_001042728.1","41790.1","-","-","P13631"
"RARRES3","NP_004576.2","NM_004585.3","41662.1","-","B2R599","Q9UL19"
"RASSF1","NP_009113.3","NM_007182.4","43096.1","-","-","Q9NS23 "
"RASSF1","NP_733830.1","NM_170712.2","2822.1","-","-","Q9NS23 "
"RASSF1","NP_733831.1","NM_170713.2","2821.1","-","Q5TZT2","Q9NS23 "
"RASSF1","NP_733832.1","NM_170714.1","2820.1","-","-","Q9NS23 "
"RBL1","NP_002886.2","NM_002895.2","13289.1","-","-","P28749"
"RBL1","NP_899662.1","NM_183404.1","13290.1","-","-","P28749"
"RBL2","NP_005602.3","NM_005611.3","10748.1","-","Q8NE70","Q08999"
"RBP1","NP_001124464.1","NM_001130992.1","46926.1","-","C9JSK9","-"
"RBP1","NP_001124465.1","NM_001130993.1","46925.1","-","-","-"
"RBP1","NP_002890.2","NM_002899.3","3110.2","-","-","P09455"
"RCL1","NP_005763.3","NM_005772.3","6456.1","-","-","Q9Y2P8"
"RGS1","NP_002913.3","NM_002922.3","1375.2","-","-","Q08116 "
"RHCG","NP_057405.1","NM_016321.1","10351.1","-","A8K4D4 ","Q9UBD6 "
"RNASEN","NP_001093882.1","NM_001100412.1","47194.1","3.1.26.3","-","-"
"RNASEN","NP_037367.3","NM_013235.4","47195.1","3.1.26.3","-","Q9NRR4"
"RNF114","NP_061153.1","NM_018683.3","33482.1","-","-","Q9Y508"
"RPL37","NP_000988.1","NM_000997.4","3934.1","-","-","P61927"
"RPL39L","NP_443201.1","NM_052969.1","3286.1","-","-","Q96EH5 "
"RPRM ","NP_062819.1","NM_019845.2","2198.1","-","-","Q9NS64"
"RPS19","NP_001013.1","NM_001022.3","12588.1","-","B0ZBD0 ","P39019 "
"RPSA","NP_001012321.1","NM_001012321.1","2686.1","-","-","P08865"
"RPSA","NP_002286.2","NM_002295.4","2686.1","-","-","P08865"
"RRAD","NP_001122322.1","NM_001128850.1","10824.1","-","-","P55042 "
"RRAD","NP_004156.1","NM_004165.2","10824.1","-","-","P55042 "
"RRAS","NP_006261.1","NM_006270.3","12774.1","-","-","P10301"
"RRM2","NP_001025.1","NM_001034.3","1669.1","1.17.4.1","-","P31350 "
"RTN3","NP_006045.1","NM_006054.2","8049.1","-","-","O95197"
"RTN3","NP_958831.1","NM_201428.1","8050.1","-","-","O95197"
"RTN3","NP_958832.1","NM_201429.1","41664.1","-","-","O95197"
"RTN3","NP_958833.1","NM_201430.1","8048.1","-","-","O95197"
"RUNX1","NP_001001890.1","NM_001001890.2","42922.1","-","-","Q01196 "
"RUNX1","NP_001116079.1","NM_001122607.1","46646.1","-","-","Q01196 "
"RUNX1","NP_001745.2","NM_001754.4","13639.1","-","-","Q01196 "
"RUNX3","NP_001026850.1","NM_001031680.2","30633.1","-","B1AJV5 ","Q13761 "
"RUNX3","NP_004341.1","NM_004350.2","257.1","-","-","Q13761 "
"S100A10","NP_002957.1","NM_002966","1008.1","-","-","P60903"
"S100A7","NP_002954.2","NM_002963.3","1039.1","-","-","P31151 "
"S100A8","NP_002955.2","NM_002964.3","1038.1","-","-","P05109"
"S100A9","NP_002956.1","NM_002965.3","1036.1","-","-","P06702"
"S100P","NP_005971.1","NM_005980.2","3391.1","-","-","P25815"
"SAA1","NP_000322.2","NM_000331.3","7835.1","-","-","P02735"
"SAA1","NP_954630.1","NM_199161.2","7835.1","-","-","P02735"
"SCAMP1","NP_004857.4","NM_004866.4","-","-","-","O15126"
"SCD","NP_005054.3","NM_005063.4","7493.1","1.14.19.1","-","O00767"
"SCEL","NP_003834.3","NM_003843.3","9458.1","-","-","O95171 "
"SCEL","NP_659001.2","NM_144777.2","9459.1","-","-","O95171 "
"SDC1 ","NP_001006947.1","NM_001006946.1","1697.1","-","-","P18827"
"SDC1 ","NP_002988.3","NM_002997.4","1697.1","-","-","P18827"
"SDHA","NP_004159.2","NM_004168.2","3853.1"," 1.3.5.1","-","P31040"
"SEMG2","NP_002999.1","NM_003008.2","13346.1","-","-","Q02383"
"SEPP1","NP_001078955.1","NM_001085486.1","-","-","-","P49908"
"SEPP1","NP_001087195.1","NM_001093726.1","-","-","-","-"
"SEPP1","NP_005401.3","NM_005410.2","-","-","-","P49908"
"SERPINA3","NP_001076.2","NM_001085.4","32150.1","-","-","P01011"
"SERPINB5","NP_002630.2","NM_002639.4","32839.1","-","-","P36952"
"SFN","NP_006133.1","NM_006142.3","288.1","-","-","P31947"
"SFRP1","NP_003003.3","NM_003012.4","34886.1","-","-","Q8N474 "
"SFRP2","NP_003004.1","NM_003013.2","34082.1","-","B3KSM5","Q96HF1"
"SFRP4","NP_003005.2","NM_003014.3","5453.1","-","-","Q6FHJ7"
"SFRP5","NP_003006.2","NM_003015.3","7472.1","-","-","Q5T4F7"
"SIPA1","NP_006738.3","NM_006747.3","8108.1","-","-","Q96FS4"
"SIPA1","NP_694985.29","NM_153253.29","8108.1","-","-","Q96FS4"
"SIX1","NP_005973.1","NM_005982.3","9748.1","-","-","Q15475"
"SKP2","NP_005974.2","NM_005983.2","3916.1","-","-","Q13309"
"SKP2","NP_116026.1","NM_032637.2","3915.1","-","-","Q13309"
"SLC3A2","NP_001012679.1","NM_001012661.1","31587.1","-","-","P08195"
"SLC3A2","NP_001012680.1","NM_001012662.1","31588.1","-","-","P08195"
"SLC3A2","NP_001012681.1","NM_001012663.1","-","-","-","P08195"
"SLC3A2","NP_001012682.1","NM_001012664.1","31589.1","-","-","P08195"
"SLC3A2","NP_001013269.1","NM_001013251.1","31590.1","-","-","P08195"
"SLC3A2","NP_002385.3","NM_002394.4","8039.2","-","-","P08195"
"SLC7A6OS","NP_115554.1","NM_032178.1","10865.1","-","-","-"
"SLURP1","NP_065160.1","NM_020427.2","6387.1","-","-","P55000 "
"SMAD2","NP_001003652.1","NM_001003652.2","11934.1","-","Q53XR6","Q15796"
"SMAD2","NP_001129409.1","NM_001135937.1","45863.1","-","-","Q15796"
"SMAD2","NP_005892.1","NM_005901.4","11934.1","-","Q53XR6","Q15796"
"SMAD4","NP_005350.1","NM_005359.5","11950.1","-","-","Q13485"
"SOCS1","NP_003736.1","NM_003745.1","10546.1","-","Q4JHT5","O15524"
"SOX1","NP_005977.2","NM_005986.2","9523.1","-","-","O00570"
"SP100","NP_001073860.1","NM_001080391.1","42832.1","-","Q68DS7 ","P23497 "
"SP100","NP_003104.2","NM_003113.3","2477.1","-","Q6ZMK3 ","P23497 "
"SPA17","NP_059121.1","NM_017425.3","8450.1","-","-","Q15506"
"SPARC","NP_003109.1","NM_003118.2","4318.1","-","-","P09486 "
"SPINK5","NP_001121170.1","NM_001127698.1","47300.1","-","Q3LX96 ","-"
"SPINK5","NP_001121171.1","NM_001127699.1","47301.1","-","Q3LX95 ","-"
"SPINK5","NP_006837.2","NM_006846.3","43382.1","-","Q3LX97 ","Q9NQ38 "
"SPP1","NP_000573.1","NM_000582.2","3626.1","-","B2RDA1 ","P10451 "
"SPP1","NP_001035147.1","NM_001040058.1","43250.1","-","Q4W597 ","P10451"
"SPP1","NP_001035149.1","NM_001040060.1","34027.1","-","Q567T5 ","-"
"SPRR1A","NP_005978.2","NM_005987.2","1032.1","-","-","P35321 "
"SPRR1B","NP_003116.2","NM_003125.2","30863.1","-","-","P22528"
"SPRR2A","NP_005979.1","NM_005988.2","1034.1","-","-","P35326"
"SPRR2B","NP_001017418.1","NM_001017418.1","30865.1","-","-","P35325 "
"SPRR3","NP_001091058.1","NM_001097589.1","1033.1","-","-","Q9UBC9 "
"SPRR3","NP_005407.1","NM_005416.2","1033.1","-","-","Q9UBC9 "
"ST14","NP_068813.1","NM_021978.3","8487.1","3.4.21.109","-","Q9Y5Y6"
"STARD10","NP_006636.2","NM_006645.2","41688.1","-","-","Q9Y365"
"STAT1","NP_009330.1","NM_007315.3","2309.1","-","A8K989; Q6","P42224 "
"STAT1","NP_644671","NM_139266.2","42793.1","-","Q68D00 ","P42224 "
"STAT3","NP_003141.2","NM_003150.3","32657.1","-","-","P40763 "
"STAT3","NP_644805.1","NM_139276.2","32656.1","-","-","P40763 "
"STAT3","NP_998827.1","NM_213662.1","-","-","-","P40763 "
"STAU1","NP_001032405.1","NM_001037328.1","33481.1","-","B3KRE0; Q6","O95793"
"STAU1","NP_004593.2","NM_004602.2","13415.1","-","B3KRE0","O95793"
"STAU1","NP_059346.2","NM_017452.2","13415.1","-","B3KRE0","O95793"
"STAU1","NP_059347.2","NM_017453.2","13414.1","-","B3KRE0","O95793"
"STAU1","NP_059348.2","NM_017454.2","13415.1","-","B3KRE0","O95793"
"STK11","NP_000446.1","NM_000455.4","45896.1","2.7.11.1","-","Q15831 "
"STK31","NP_001116305.1","NM_001122833.1","43556.1","2.7.11.1","-","Q9BXU1"
"STK31","NP_113602.2","NM_031414.3","5386.1","2.7.11.1","-","Q9BXU1"
"STK31","NP_116562.2","NM_032944.2","43556.1","2.7.11.1","-","Q9BXU1"
"STX16","NP_001001433.1","NM_001001433.1","13468.1","-","Q96JR6","O14662"
"STX16","NP_001128244.1","NM_001134772.1","46619.1","-","Q6GMS8","-"
"STX16","NP_001128245.1","NM_001134773.1","46620.1","-","-","O14662"
"STX16","NP_003754.2","NM_003763.4","13469.1","-","-","O14662"
"SULF1","NP_001121676.1","NM_001128204.1","6204.1","-","-","Q8IWU6"
"SULF1","NP_001121677.1","NM_001128205.1","6204.1","-","-","Q8IWU6"
"SULF1","NP_001121678.1","NM_001128206.1","6204.1","-","-","Q8IWU6"
"SULF1","NP_055985.2","NM_015170.2","6204.1","-","-","Q8IWU6"
"SULT2B1","NP_004596.2","NM_004605.2","12724.1","2.8.2.2","-","O00204 "
"SULT2B1","NP_814444.1","NM_177973.1","12723.1","2.8.2.2","-","O00204 "
"SYCP2","NP_055073.2","NM_014258.2","13482.1","-","Q8IWA1","Q9BX26"
"SYK","NP_001128524.1","NM_001135052.1","47992.1","2.7.10.2","B3KQJ1","P43405"
"SYK","NP_003168.2","NM_003177.4","6688.1"," 2.7.10.2","A8K4G2","P43405"
"TARS","NP_689508.3","NM_152295.3","3899.1","6.1.1.3","B3KTN2","P26639"
"TBC1D1","NP_055988.2","NM_015173.2","33972.1","-","B9A6J6;Q7Z","Q86TI0"
"TBX3","NP_005987.3","NM_005996.3","9175.1","-","-","O15119"
"TBX3","NP_057653.3","NM_016569.3","9176.1","-","-","O15119"
"TCEA2","NP_003186.1","NM_003195.4","13553.1","-","Q6IB64;Q86","Q15560"
"TCEA2","NP_942016.1","NM_198723.1","13554.1","-","-","Q15560"
"TERT","NP_937983.2","NM_198253.2","3861.2","2.7.7.49","-","O14746 "
"TERT","NP_937986.1","NM_198255.2","47186.1","2.7.7.49","Q8NG38 ","O14746 "
"TFF3","NP_003217.2","NM_003226.2","33565.1","-","-","-"
"TFPI2","NP_006519.1","NM_006528.2","5632.1","-","-","P48307 "
"TFRC","NP_001121620.1","NM_001128148.1","3312.1","-","-","P02786 "
"TFRC","NP_003225.2","NM_003234.2","3312.1","-","A8K6Q8","P02786 "
"TGFA","NP_001093161.1","NM_001099691.1","46316.1","-","-","P01135"
"TGFA","NP_003227.1","NM_003236.2","1905.1","-","-","P01135"
"TGFB1","NP_000651.3","NM_000660.4","33031.1","-","-","P01137 "
"TGFB2","NP_001129071.1","NM_001135599.1","44318.1","-","Q59EG9","P61812"
"TGFB2","NP_003229.1","NM_003238.2","1521.1","-","Q59EG9","P61812"
"TGFBR1","NP_001124388.1","NM_001130916.1","47998.1","2.7.11.30","Q6IR47","-"
"TGFBR1","NP_004603.1","NM_004612.2","6738.1","2.7.11.30","Q5T7S2","P36897"
"TGM3","NP_003236.3","NM_003245.3","33435.1","2.3.2.13","-","Q08188 "
"THBD","NP_000352.1","NM_000361.2","13148.1","-","-","P07204"
"THBS1","NP_003237.2","NM_003246.2","32194.1","-","-","P07996 "
"THBS2","NP_003238.2","NM_003247.2","34574.1","-","Q6MZL6","P35442"
"TIMP1","NP_003245.1","NM_003254.2","14281.1","-","Q6FGX5","P01033"
"TIMP2","NP_003246.1","NM_003255.4","11758.1","-","-","P16035"
"TIMP3","NP_000353.1","NM_000362.4","13911.1","-","-","P35625 "
"TKTL1","NP_036385.3","NM_012253.3","35448.1","-","- ","P51854 "
"TLR2","NP_003255.2","NM_003264.3","3784.1","-","B3KWR9","O60603"
"TLR4","NP_612564.1","NM_138554.3","6818.1","-","-","O00206"
"TLR8","NP_619542.1","NM_138636.4","14152.1","-","-","Q9NR97 "
"TMC6","NP_001120670.1","NM_001127198.1","32748.1","-","-","Q7Z403"
"TMC6","NP_009198.4","NM_007267.6","32748.1","-","-","Q7Z403"
"TMCO6","NP_060972.3","NM_018502.3","4233.2","-","-","Q96DC7"
"TMEM132A","NP_060340.2","NM_017870.3","7997.1","-","-","Q24JP5"
"TMEM132A","NP_821174.1","NM_178031.2","44618.1","-","-","Q24JP5"
"TMPRSS11D","NP_004253.1","NM_004262.2","3518.1","-","-","O60235 "
"TMPRSS11E","NP_054777.2","NM_014058.3","33993.1","-","-","Q9UL52 "
"TNF","NP_000585.2","NM_000594.2","4702.1","-","C1K3N5","P01375"
"TNFRSF10C","NP_003832.2","NM_003841.2","6037.1","-","-","O14798"
"TOB1","NP_005740.1","NM_005749.2","11576.1","-","-","P50616"
"TOP2A","NP_001058.2","NM_001067.2","45672.1"," 5.99.1.3","-","P11388"
"TP53","NP_000537.3","NM_000546.4","11118.1","-","Q3LRW3;Q53","P04637"
"TP53","NP_001119584.1","NM_001126112.1","11118.1","-","Q3LRW3;Q53","P04637"
"TP53","NP_001119585.1","NM_001126113.1","45605.1","-","Q3LRW1;Q3L","-"
"TP53","NP_001119586.1","NM_001126114.1","45606.1","-","Q3LRW1;Q3L","-"
"TP53","NP_001119587.1","NM_001126115.1","-","-","Q3LRW3;Q53","-"
"TP53","NP_001119588.1","NM_001126116.1","-","-","Q3LRW2;Q53","-"
"TP53","NP_001119589.1","NM_001126117.1","-","-","Q3LRW1;Q53","-"
"TP73","NP_001119712.1","NM_001126240.1","44049.1","-","-","O15350 "
"TP73","NP_001119713.1","NM_001126241.1","44050.1","-","-","O15350 "
"TP73","NP_001119714.1","NM_001126242.1","44051.1","-","-","O15350 "
"TP73","NP_005418.1","NM_005427.2","49.1","-","-","O15350 "
"TPX2","NP_036244.2","NM_012112.4","13190.1","-","Q643R0","Q9ULW0"
"TRA2A","NP_037425.1","NM_013293.3","5383.1","-","Q549U1","Q13595"
"TREM2","NP_061838.1","NM_018965.2","4852.1","-","Q5TCX1","Q9NZC2"
"TRIM29","NP_036233.2","NM_012101.3","8428.1","-","-","Q14134"
"TRIP13","NP_004228.1","NM_004237.2","3858.1","-","-","Q15645"
"TSPAN3","NP_005715.1","NM_005724.4","10292.1","-","-","O60637"
"TSPAN3","NP_944492.1","NM_198902.1","10293.1","-","A6NEH4","-"
"TUBB2","NP_001060.1","NM_001069.2","4484.1","-","-","Q13885"
"TWIST1","NP_000465.1","NM_000474.3","5367.1","-","-","Q15672 "
"TYK2","NP_003322.3","NM_003331.4","12236.1","2.7.10.2","-","P29597"
"TYMS","NP_001062.1","NM_001071.2","11821.1","2.1.1.45","Q53Y97 ","P04818 "
"UFD1L","NP_001030324.1","NM_001035247.1","33600.1","-","A8MW31","-"
"UFD1L","NP_005650.2","NM_005659.5","13761.1","-","Q541A5","Q92890"
"UPK1A","NP_008931.1","NM_007000.2","12470.1","-","-","O00322 "
"VEGFA","NP_001020537.2","NM_001025366.2","34457.1","-","-","P15692 "
"VEGFA","NP_001020538.2","NM_001025367.2","47433.1","-","-","P15692 "
"VEGFA","NP_001020539.2","NM_001025368.2","34458.1","-","-","P15692 "
"VEGFA","NP_001020540.2","NM_001025369.2","47435.1","-","-","P15692 "
"VEGFA","NP_001020541.2","NM_001025370.2","47434.1","-","-","P15692 "
"VEGFA","NP_001028928.1","NM_001033756.2","47432.1","-","-","P15692 "
"VEGFA","NP_003367.4","NM_003376.5","4907.2","-","-","P15692 "
"VEGFB","NP_003368.1","NM_003377.3","8062.1","-","Q7LAP4","P49765"
"VEGFC","NP_005420.1","NM_005429.2","-","-","-","P49767 "
"VHL","NP_000542.1","NM_000551.2","2597.1","-","-","P40337"
"VHL","NP_937799.1","NM_198156.1","2598.1","-","-","P40337"
"VPS35","NP_060676.2","NM_018206.4","10721.1","-","-","Q96QK1"
"VSIG4","NP_001093901.1","NM_001100431.1","48132.1","-","C9JK20 ","Q9Y279 "
"VSIG4","NP_009199.1","NM_007268.2","14383.1","-","-","Q9Y279 "
"VWF","NP_000543.2","NM_000552.3","8539.1","-","-","P04275"
"WT1","NP_000369.3","NM_000378.3","44561.1","-","B3KSA5","P19544"
"WT1","NP_077742.2","NM_024424.2","44562.1","-","B3KSA5","P19544"
"WT1","NP_077743.2","NM_024425.2","7877.2","-","B3KSA5","P19544"
"WT1","NP_077744.3","NM_024426.3","7878.2","-","B3KSA5","P19544"
"XRCC1","NP_006288.2","NM_006297.2","12624.1","-","B2RCY5; Q5","P18887"
"YIF1A","NP_065203.2","NM_020470.2","8132.1","-","A8K509","O95070"
"ZBED2","NP_078784.2","NM_024508.3","2960.2","-","-","Q9BTP6 "
"ZNF217","NP_006517.1","NM_006526.2","13443.1","-","-","O75362"
