"gene_name","protein_id","mrna_id","ccds_id","ec_num","trembl_id","swissprot_id"
"HRAS","NP_005334.1","NM_005343.2","7698.1","-","Q9BR65 ","P01112 "
"HRAS","NP_789765.1","NM_176795.3","7699.1","-","Q9BR65 ","-"
"HS3ST2","NP_006034.1","NM_006043.1","10606.1","2.8.2.29","-","Q9Y278 "
"HSP90AA1","NP_001017963.2","NM_001017963.2","32160.1","-","Q86SX1","P07900"
"HSP90AA1","NP_005339.3","NM_005348.3","9967.1","-","-","P07900"
"HSPB2","NP_001532.1","NM_001541.3","8352.1","-","A8KAH6","Q16082"
"HSPB8","NP_055180.1","NM_014365.2","9189.1","-","-","Q9UJY1 "
"HSPD1","NP_002147.2","NM_002156.4","33357.1","-","-","P10809"
"HSPD1","NP_955472.1","NM_199440.1","33357.1","-","-","P10809"
"HUWE1","NP_113584.3","NM_031407.4","35301.1","-","-","Q7Z6Z7"
"HYAL1","NP_009296.1","NM_007312.3","2816.1","3.2.1.35","-","Q12794"
"HYAL1","NP_149349.2","NM_033159.2","2816.1","3.2.1.35","-","Q12794"
"HYAL1","NP_695013.1","NM_153281.1","2816.1","3.2.1.35","B3KUI5","Q12794"
"HYAL1","NP_695014.1","NM_153282.1","2817.1","3.2.1.35","-","Q12794"
"HYAL1","NP_695015.1","NM_153283.1","46832.1","3.2.1.35","-","Q12794"
"HYAL1","NP_695017.1","NM_153285.1","46833.1","3.2.1.35","-","Q12794"
"ICOS","NP_036224.1","NM_012092.2","2363.1","-","Q53QY6","Q9Y6W8"
"IER5","NP_057629.2","NM_016545.4","1343.1","-","-","Q5VY09"
"IFI16","NP_005522.2","NM_005531.2","1180.3","-","-","Q16666 "
"IFI6","NP_002029.3","NM_002038.3","306.1","-","Q6IE95","P09912"
"IFI6","NP_075010.1","NM_022872.2","307.1","-","Q5VVR2","-"
"IFI6","NP_075011.1","NM_022873.2","308.1","-","-","P09912"
"IFITM1","NP_003632.3","NM_003641.3","41584.1","-","Q53XZ0 ","P13164 "
"IFNG","NP_000610.2","NM_000619.2","8980.1","-","-","P01579 "
"IGF1","NP_000609.1","NM_000618.3","9091.1","-","Q59GC5 , Q","PO5019"
"IGF1","NP_001104753.1","NM_001111283.1","44961.1","-","Q13429","-"
"IGF1","NP_001104754.1","NM_001111284.1","44960.1","-","Q14620 ","-"
"IGF1","NP_001104755.1","NM_001111285.1","44962.1","-","-","P05019"
"IGF2","NP_000603.1","NM_000612.4","7728.1","-","-","P01344"
"IGF2","NP_001007140.2","NM_001007139.4","7728.1","-","-","P01344"
"IGF2","NP_001121070.1","NM_001127598.1","44517.1","-","-","-"
"IGFBP2","NP_000588.2","NM_000597.2","42815.1","-","-","P18065 "
"IGFBP3","NP_000589.2","NM_000598.4","5505.1","-","B3KPF0","P17936"
"IGFBP3","NP_001013416.1","NM_001013398.1","34632.1","-","-","P17936"
"IGFBP5","NP_000590.1","NM_000599.3","2405.1","-","-","P24593 "
"IGFBP6","NP_002169.1","NM_002178.2","8846.1","-","-","P24592 "
"IL10","NP_000563.1","NM_000572.2","1467.1","-","Q6FGW4","P22301"
"IL18","NP_001553.1","NM_001562.2","44731.1","-","-","Q14116 "
"IL1A","NP_000566.3","NM_000575.3","2101.1","-","Q53QF9 ","P01583 "
"IL1RN","NP_000568.1","NM_000577.4","2113.1","-","-","P18510 "
"IL1RN","NP_776213.1","NM_173841.2","2114.1","-","Q53SC2 ","P18510 "
"IL1RN","NP_776214.1","NM_173842.2","46396.1","-","-","P18510 "
"IL1RN","NP_776215.1","NM_173843.2","2115.1","-","-","P18510 "
"IL32","NP_001012649.1","NM_001012631.1","32377.1","-","-","P24001"
"IL32","NP_001012650.1","NM_001012632.1","32377.1","-","-","P24001"
"IL32","NP_001012651.1","NM_001012633.1","32378.1","-","-","P24001"
"IL32","NP_001012652.1","NM_001012634.1","45394.1","-","A8MPX0","-"
"IL32","NP_001012653.1","NM_001012635.1","45394.1","-","A8MPX0","-"
"IL32","NP_001012654.1","NM_001012636.1","32379.1","-","A6NNM0","-"
"IL32","NP_001012736.1","NM_001012718.1","32377.1","-","-","P24001"
"IL32","NP_004212.4","NM_004221.4","32377.1","-","-","P24001"
"IL6","NP_000591.1","NM_000600.3","5375.1","","B4DVM1 ","P05231 "
"IL8","NP_000575.1","NM_000584.2","34005.1","-","-","P10145"
"ILF2","NP_004506.2","NM_004515.2","1050.1","-","-","Q12905"
"IMP3","NP_060755.1","NM_018285.2","10282.1","-","-","Q9NV31"
"INPP5E","NP_063945.2","NM_019892.3","7000.1","3.1.3.36","-","Q9NRR6"
"IPO5","NP_002262.3","NM_002271.4","31999.1","-","B3KWG6; Q9","O00410"
"IRF3","NP_001562.1","NM_001571.4","12775.1","-","-","Q14653 "
"ITGA1","NP_852478.1","NM_181501.1","3955.1","-","-","P56199"
"ITGA4","NP_000876.3","NM_000885.4","42788.1","-","-","P13612"
"ITGA6","NP_000201.2","NM_000210.2","2249.1","-","-","P23229 "
"ITGA6","NP_001073286.1","NM_001079818.1","46451.1","-","-","P23229 "
"ITGAV ","NP_001138471.1","NM_001144999.1","46471.1","-","B7Z883","-"
"ITGAV ","NP_001138472.1","NM_001145000.1","46470.1","-","B7ZLX0","P06756"
"ITGAV ","NP_002201.1","NM_002210.3","2292.1","-","-","P06756"
"ITGB1","NP_002202.2","NM_002211.3","7174.1","-","-","P05556 "
"ITGB1","NP_389647.1","NM_033666.2","44371.1","-","-","P05556 "
"ITGB1","NP_391987.1","NM_033667.2","31178.1","-","-","P05556 "
"ITGB1","NP_391988.1","NM_033668.2","7176.1","-","-","P05556 "
"ITGB1","NP_391989.1","NM_033669.2","7175.1","-","-","P05556 "
"ITGB1","NP_596867.1","NM_133376.2","7174.1","-","-","P05556 "
"ITGB2","NP_000202.2","NM_000211.3","13716.1","-","-","P05107"
"ITGB2","NP_001120963.1","NM_001127491.1","13716.1","-","-","P05107"
"ITGB8","NP_002205.1","NM_002214.2","5370.1","-","Q9BUG9","P26012"
"ITM2C","NP_001012532.1","NM_001012514.1","33396.1","-","-","Q9NQX7"
"ITM2C","NP_001012534.1","NM_001012516.1","33395.1","-","-","Q9NQX7"
"ITM2C","NP_112188.1","NM_030926.4","2479.1","-","-","Q9NQX7"
"IVL","NP_005538.2","NM_005547.2","1030.1","-","-","P07476 "
"JAK1","NP_002218.2","NM_002227.2","41346.1","2.7.10.2","-","P23458"
"JUNB","NP_002220.1","NM_002229.2","12280.1","-","Q5U079 ","P17275 "
"KCNC4","NP_001034663.1","NM_001039574.1","44193.1","-","-","Q03721"
"KCNC4","NP_004969.2","NM_004978.3","821.1","-","-","Q03721"
"KCNC4","NP_720198.1","NM_153763.2","44194.1","-","-","Q03721"
"KCNJ4","NP_004972.1","NM_004981.1","13971.1","-","-","P48050 "
"KCNJ4","NP_690607.1","NM_152868.1","13971.1","-","-","P48050 "
"KIAA1324","NP_065826.2","NM_020775.2","794.1","-","B4DWM4","Q6UXG2"
"KIT","NP_000213.1","NM_000222.2","3496.1","2.7.10.1","Q6IQ28 ","P10721 "
"KIT","NP_001087241.1","NM_001093772.1","47058.1","2.7.10.1","Q6IQ28 ","P10721 "
"KITLG","NP_000890.1","NM_000899.3","31868.1","-","-","P21583 "
"KITLG","NP_003985.2","NM_003994.4","31867.1","-","-","P21583 "
"KLF3","NP_057615.3","NM_016531.5","3444.1","-","-","P57682"
"KLK10","NP_001070968.1","NM_001077500.1","12817.1","3.4.21.35","-","O43240 "
"KLK10","NP_002767.2","NM_002776.4","12817.1","3.4.21.35","-","O43240 "
"KLK10","NP_665895.1","NM_145888.2","12817.1","3.4.21.35","-","O43240 "
"KLK11","NP_001129504.1","NM_001136032.2","12819.1","-","Q0WXX5 ","Q9UBX7 "
"KLK11","NP_006844.1","NM_006853.2","12819.1","-","Q0WXX5 ","Q9UBX7 "
"KLK11","NP_659196.1","NM_144947.1","12818.1","-","-","Q9UBX7 "
"KLK12","NP_062544.1","NM_019598.2","12820.1","-","-","Q9UKR0 "
"KLK12","NP_665901.1","NM_145894.1","12821.1","-","-","Q9UKR0 "
"KLK12","NP_665902.1","NM_145895.1","-","-","Q9UKR2 ","-"
"KLK13","NP_056411.1","NM_015596.1","12822.1","-","-","Q9UKR3 "
"KLK2","NP_001002231.1","NM_001002231.1","42597.1","3.4.21.35","Q6T775","P20151"
"KLK2","NP_005542.1","NM_005551.3","12808.1","3.4.21.35","Q6T775","P20151"
"KLK7","NP_005037.1","NM_005046.2","12812.1","3.4.21.117","A8K0U5 ","P49862 "
"KLK7","NP_644806.1","NM_139277.1","12812.1","3.4.21.117","A8K0U5 ","P49862 "
"KLK8","NP_009127.1","NM_007196.2","12813.1","3.4.21.118","-","O60259 "
"KLK8","NP_653088.1","NM_144505.1","42600.1","3.4.21.118","-","O60259 "
"KLK8","NP_653089.1","NM_144506.1","12814.1","3.4.21.118","-","O60259 "
"KLK8","NP_653090.1","NM_144507.1","12815.1","3.4.21.118","-","O60259 "
"KRAS","NP_004976.2","NM_004985.3","8702.1","-","-","P01116 "
"KRAS","NP_203524.1","NM_033360.2","8703.1","-","-","P01116 "
"KRT1","NP_006112.3","NM_006121.3","8836.1","-","-","P04264 "
"KRT10","NP_000412.3","NM_000421.3","11377.1","-","-","P13645"
"KRT13","NP_002265.2","NM_002274.3","11397.1","-","-","P13646 "
"KRT13","NP_705694.2","NM_153490.2","11396.1","-","A1A4E9 ","P13646 "
"KRT15","NP_002266.2","NM_002275.3","11398.1","-","B3KVF5","P19012"
"KRT17","NP_000413.1","NM_000422.2","11402.1","-","Q14666","Q04695"
"KRT18","NP_000215.1","NM_000224.2","31809.1","-","-","P05783 "
"KRT18","NP_954657.1","NM_199187.1","31809.1","-","-","P05783 "
"KRT19","NP_002267.2","NM_002276.4","11399.1","-","-","P08727 "
"KRT3","NP_476429.2","NM_057088.2","44895.1","-","-","P12035 "
"KRT4","NP_002263.2","NM_002272.2","41787.1","-","-","P19013 "
"KRT6B","NP_005546.2","NM_005555.3","8828.1","-","-","P04259"
"KRT7","NP_005547.3","NM_005556.3","8822.1","-","-","P08729 "
"KRT8","NP_002264.1","NM_002273.3","8841.1","-","-","P05787 "
"KRTHA3B","NP_002270.1","NM_002279.3","11389.1","-","-","Q14525"
"LAMA5","NP_005551.3","NM_005560.3","33502.1","-","-","O15230"
"LARP7","NP_056269.1","NM_015454.1","3701.2","-","-","Q4G0J3"
"LARP7","NP_057732.2","NM_016648.2","3701.2","-","-","Q4G0J3"
"LDHA","NP_001128711.1","NM_001135239.1","44549.1","1.1.1.27","B4DKQ2","-"
"LDHA","NP_005557.1","NM_005566.3","7839.1","1.1.1.27","-","P00338"
"LGALS7","NP_002298.1","NM_002307.3","33012.1","-","-","P47929"
"LGR5","NP_003658.1","NM_003667.2","9000.1","-","-","O75473 "
"LHFPL4","NP_940962.1","NM_198560.2","33691.1","-","-","Q7Z7J7"
"LMX1A","NP_796372.1","NM_177398.2","1247.1","-","-","Q8TE12"
"LMX1A","NP_796373.1","NM_177399.2","-","-","-","Q8TE12"
"LMX1A","NP_001028679.1","NM_001033507.1","41435.1","-","-","Q8TE12"
"LSM3","NP_055278.1","NM_014463.1","-","-","-","P62310"
"LSMD1","NP_115732.2","NM_032356.3","11122.1","-","-","Q9BRA0"
"LY6D","NP_003686.1","NM_003695.2","6390.1","-","-","Q14210"
"LYPLA1","NP_006321.1","NM_006330.2","6157.1","3.1.1.5; 3.1.2.-","Q6IAQ1","O75608"
"MAL","NP_002362.1","NM_002371.2","2006.1","-","Q6FH77 ","P21145 "
"MAL","NP_071883.1","NM_022438.1","2007.1","-","-","P21145 "
"MAL","NP_071884.1","NM_022439.1","2008.1","-","-","P21145 "
"MAL","NP_071885.1","NM_022440.1","2009.1","-","-","P21145 "
"MAP3K11","NP_002410.1","NM_002419.3","8107.1","2.7.11.25","-","Q16584"
"MBNL2","NP_659002.1","NM_144778.2","9484.1","-","-","Q5VZF2"
"MBNL2","NP_997187.1","NM_207304.1","9483.1","-","A2A3S3","Q5VZF2"
"MCM2","NP_004517.2","NM_004526.2","3043.1","-","-","P49736 "
"MCM3","NP_002379.2","NM_002388.3","4940.1","-","-","P25205"
"MCM4","NP_005905.2","NM_005914.2","6143.1","-","-","P33991"
"MCM4","NP_877423.1","NM_182746.1","6143.1","-","B3KMX0","P33991"
"MCM5","NP_006730.2","NM_006739.3","13915.1","-","B1AHB0 ","P33992 "
"MDM2","NP_002383.2","NM_002392.3","8986.2","6.3.2.-","-","Q00987 "
"ME1","NP_002386.1","NM_002395.4","34492.1","1.1.1.40","-","P48163 "
"MEF2A","NP_001124398.1","NM_001130926.1","-","-","Q59GX4","Q02078"
"MEF2A","NP_001124399.1","NM_001130927.1","45363.1","-","B4DFQ7; Q5","Q02078"
"MEF2A","NP_001124400.1","NM_001130928.1","-","-","Q59GX4; Q7","Q02078"
"MEF2A","NP_005578.2","NM_005587.2","45362.1","-","Q59GX4","Q02078"
"MET","NP_000236.2","NM_000245.2","43636.1","2.7.10.1","A1L467 ","P08581 "
"MET","NP_001120972.1","NM_001127500.1","47689.1","2.7.10.1","A1L467 ","P08581 "
"MGMT","NP_002403.2","NM_002412.3","7660.2","2.1.1.63","B4DEE8 ","-"
"MLH1","NP_000240.1","NM_000249.3","2663.1","-","Q5GJ64 ","P40692 "
