"id","alias","descrip","other"
"AKT3","MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2","v-akt murine thymoma viral oncogene homolog 3","PKB gamma|RAC-gamma serine/threonine protein kinase|RAC-gamma serine/threonine-protein kinase|v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"
"ZBTB11-AS1","","ZBTB11 antisense RNA 1",""
"CDH2","CD325, CDHN, CDw325, NCAD","cadherin 2, type 1, N-cadherin (neuronal)","N-cadherin 1|cadherin-2|calcium-dependent adhesion protein, neuronal|neural cadherin"
"MED6","ARC33, NY-REN-28","mediator complex subunit 6","CTD-2540L5.5|activator-recruited cofactor 33 kDa component|mediator of RNA polymerase II transcription subunit 6|renal carcinoma antigen NY-REN-28"
"NR2E3","ESCS, PNR, RNR, RP37, rd7","nuclear receptor subfamily 2, group E, member 3","photoreceptor-specific nuclear receptor|retina-specific nuclear receptor"
"NAALAD2","GCPIII, GPCIII, NAADALASE2, NAALADASE2","N-acetylated alpha-linked acidic dipeptidase 2","N-acetylated alpha-linked acidic dipeptidase II|N-acetylated-alpha-linked acidic dipeptidase 2|N-acetylated-alpha-linked acidic dipeptidase II|NAALADase II|glutamate carboxypeptidase III"
"NAALADL1","I100, NAALADASEL","N-acetylated alpha-linked acidic dipeptidase-like 1","100 kDa ileum brush border membrane protein|N-acetylated-alpha-linked acidic dipeptidase-like protein|NAALADase L|ileal dipeptidylpeptidase|ileal peptidase I100"
"CDKN2B-AS1","ANRIL, CDKN2B-AS, CDKN2BAS, NCRNA00089, PCAT12, p15AS","CDKN2B antisense RNA 1","CDKN2B antisense RNA 1 (non-protein coding)|antisense noncoding RNA in the INK4 locus|p15 antisense RNA|prostate cancer associated transcript 12"
"LOC100049716","","uncharacterized LOC100049716",""
"ACOT8","HNAACTE, PTE-1, PTE-2, PTE1, PTE2, hACTE-III, hTE","acyl-CoA thioesterase 8","HIV-Nef associated acyl-CoA thioesterase|acyl-coenzyme A thioesterase 8|choloyl-CoA hydrolase|choloyl-coenzyme A thioesterase|long-chain fatty-acyl-CoA hydrolase|palmitoyl-CoA hydrolase|peroxisomal acyl-CoA thioesterase 1|peroxisomal acyl-coenzyme A thioester hydrolase 1|peroxisomal long-chain acyl-CoA thioesterase 1|thioesterase II|thioesterase III"
"ABI1","ABI-1, ABLBP4, E3B1, NAP1BP, SSH3BP, SSH3BP1","abl-interactor 1","Abelson interactor 1|Abl-interactor protein 1 long|abl interactor 1|abl-binding protein 4|eps8 SH3 domain-binding protein|interactor protein AblBP4|nap1 binding protein|spectrin SH3 domain-binding protein 1"
"GNPDA1","GNP1, GNPDA, GNPI, GPI, HLN","glucosamine-6-phosphate deaminase 1","GNPDA 1|glcN6P deaminase 1|glucosamine-6-phosphate isomerase 1|oscillin"
"KCNE3","HOKPP, HYPP, MiRP2","potassium channel, voltage gated subfamily E regulatory beta subunit 3","cardiac voltage-gated potassium channel accessory subunit|minK-related peptide 2|minimum potassium ion channel-related peptide 2|potassium channel subunit beta MiRP2|potassium voltage-gated channel subfamily E member 3|potassium voltage-gated channel, Isk-related family, member 3|voltage-gated K+ channel subunit MIRP2"
"ZBTB33","ZNF-kaiso, ZNF348","zinc finger and BTB domain containing 33","WUGSC:H_DJ525N14.1|kaiso transcription factor|transcriptional regulator Kaiso|zinc finger and BTB domain-containing protein 33"
"SNHG8","LINC00060, NCRNA00060","small nucleolar RNA host gene 8","long intergenic non-protein coding RNA 60|small nucleolar RNA host gene (non-protein coding) 8|small nucleolar RNA host gene 8 (non-protein coding)"
"GS1-600G8.3","","unknown transcript",""
"ADA","","adenosine deaminase","adenosine aminohydrolase|mutant adenosine deaminase"
"TANK","I-TRAF, ITRAF, TRAF2","TRAF family member-associated NFKB activator","TRAF family member-associated NF-kappa-B activator|TRAF-interacting protein"
"HAVCR1P1","","hepatitis A virus cellular receptor 1 pseudogene 1",""
"ZSCAN30","ZNF-WYM, ZNF397OS, ZNF917","zinc finger and SCAN domain containing 30","ZNF397 opposite strand|zinc finger and SCAN domain-containing protein 30|zinc finger protein 397 opposite strand|zinc finger protein 397OS"
"ANKRD26P3","LINC00414","ankyrin repeat domain 26 pseudogene 3","long intergenic non-protein coding RNA 414"
"CDH3","CDHP, HJMD, PCAD","cadherin 3, type 1, P-cadherin (placental)","cadherin-3|calcium-dependent adhesion protein, placental"
"SRA1","SRA, SRAP, STRAA1, pp7684","steroid receptor RNA activator 1","steroid receptor RNA activator 1 (complexes with NCOA1)|steroid receptor RNA activator protein|steroid receptor coactivator"
"TMEM170B","","transmembrane protein 170B",""
"HOTAIR","HOXAS, HOXC-AS4, HOXC11-AS1, NCRNA00072","HOX transcript antisense RNA","HOX transcript antisense RNA (non-protein coding)|HOXC cluster antisense RNA 4 (non-protein coding)|hox transcript antisense intergenic RNA"
"ZGLP1","GATAD3, GLP-1, GLP1","zinc finger, GATA-like protein 1","GATA like protein 1|GATA like protein-1|GATA zinc finger domain containing 3|GATA-like protein 1|GATA-type zinc finger protein 1"
"LOC100125871","","hypothetical protein LOC100125871",""
"LOC100126784","","uncharacterized LOC100126784",""
"EGOT","EGO, NCRNA00190","eosinophil granule ontogeny transcript (non-protein coding)",""
"GHRLOS","GHRL-AS1, GHRLAS, NCRNA00068","ghrelin opposite strand/antisense RNA","GHRL antisense RNA 1 (non-protein coding)"
"LOC100127886","","uncharacterized LOC100127886","putative uncharacterized protein PRO0628"
"SLCO4A1-AS1","","SLCO4A1 antisense RNA 1",""
"LOC100127891","","uncharacterized LOC100127891",""
"LOC100127940","","uncharacterized LOC100127940",""
"HECW1-IT1","","HECW1 intronic transcript 1","HECW1 intronic transcript 1 (non-protein coding)"
"LOC100127972","","uncharacterized LOC100127972",""
"LOC100127974","","uncharacterized LOC100127974",""
"LOC100127980","","hypothetical protein LOC100127980",""
"C8orf88","","chromosome 8 open reading frame 88","uncharacterized protein C8orf88"
"LOC100128002","","uncharacterized LOC100128002",""
"LOC100128003","","hypothetical LOC100128003",""
"WWTR1-AS1","","WWTR1 antisense RNA 1","WWTR1 antisense RNA 1 (non-protein coding)"
"PP13439","","uncharacterized LOC100128046",""
"FAM229A","","family with sequence similarity 229, member A","protein FAM229A"
"LOC100128079","","uncharacterized LOC100128079","CTD-2049O4.1"
"JAZF1-AS1","","JAZF1 antisense RNA 1","JAZF1 antisense RNA 1 (non-protein coding)"
"ST8SIA6-AS1","","ST8SIA6 antisense RNA 1",""
"HGC6.3","","uncharacterized LOC100128124","uncharacterized protein LOC100128124"
"STAU2-AS1","","STAU2 antisense RNA 1","STAU2 antisense RNA 1 (non-protein coding)"
"LINC01233","XLOC_013014","long intergenic non-protein coding RNA 1233",""
"LOC100128164","","four and a half LIM domains 1 pseudogene",""
"LOC100128175","","uncharacterized LOC100128175",""
"LOC100128176","","uncharacterized LOC100128176",""
"LOC100128185","","PNAS-19",""
"TMPO-AS1","","TMPO antisense RNA 1","TMPO antisense RNA 1 (non-protein coding)"
"LOC100128198","","uncharacterized LOC100128198",""
"GAFA3","","FGF-2 activity-associated protein 3",""
"LOC100128239","","uncharacterized LOC100128239",""
"ZNF667-AS1","","ZNF667 antisense RNA 1 (head to head)",""
"TNK2-AS1","","TNK2 antisense RNA 1",""
"LOC100128281","","uncharacterized LOC100128281",""
"LOC100128288","","uncharacterized LOC100128288",""
"DLG5-AS1","","DLG5 antisense RNA 1",""
"OCR1","","ovarian cancer-related protein 1",""
"TRAPPC3L","BET3L, bA259P20.2","trafficking protein particle complex 3-like","BET3-like protein|TRAPPC3-like protein|trafficking protein particle complex subunit 3-like protein"
"LOC100128334","","gap junction protein, gamma 3, 30.2kDa pseudogene",""
"LOC100128343","","uncharacterized LOC100128343",""
"RAB28P5","","RAB28, member RAS oncogene family pseudogene 5",""
"LOC100128439","","hypothetical protein LOC100128439",""
"C20orf78","dJ1068E13.1","chromosome 20 open reading frame 78","putative uncharacterized protein C20orf78"
"LOC100128510","","hypothetical protein LOC100128510",""
"NEBL-AS1","","NEBL antisense RNA 1",""
"LOC100128554","","uncharacterized LOC100128554",""
"SLC8A1-AS1","","SLC8A1 antisense RNA 1","SLC8A1 antisense RNA 1 (non-protein coding)"
"LL0XNC01-116E7.2","","uncharacterized LOC100128594",""
"ACVR2B-AS1","","ACVR2B antisense RNA 1","ACVR2B antisense RNA 1 (non-protein coding)"
"LOC100128653","","uncharacterized LOC100128653",""
"LOC100128694","","hypothetical LOC100128694",""
"LOC100128727","","uncharacterized LOC100128727",""
"OST4","","oligosaccharyltransferase 4 homolog (S. cerevisiae)","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4"
"LOC100128737","","uncharacterized LOC100128737",""
"LOC100128751","","INM04",""
"LINC00476","C9orf130, NAG11, NAG12","long intergenic non-protein coding RNA 476","nasopharyngeal carcinoma-associated gene 12"
"SRRM2-AS1","","SRRM2 antisense RNA 1","CTD-2270P14.3|SRRM2 antisense RNA 1 (non-protein coding)"
"LINC01003","","long intergenic non-protein coding RNA 1003",""
"LINC01165","","long intergenic non-protein coding RNA 1165",""
"LOC100128840","","uncharacterized LOC100128840",""
"LOC100128843","","uncharacterized LOC100128843",""
"LOC100128868","","testin-related protein TRG",""
"VPS9D1-AS1","","VPS9D1 antisense RNA 1",""
"GATA6-AS1","locus5689","GATA6 antisense RNA 1 (head to head)","locus 5689"
"LOC100128909","","uncharacterized LOC100128909",""
"LOC100128922","","connexin",""
"ZBTB42","LCCS6, ZNF925","zinc finger and BTB domain containing 42","zinc finger and BTB domain-containing protein 42"
"LINC01310","WI2-81516E3.1","long intergenic non-protein coding RNA 1310",""
"GAPDHP62","GAPDHL7, GAPDL7","glyceraldehyde 3 phosphate dehydrogenase pseudogene 62","glyceraldehyde-3-phosphate dehydrogenase pseudogene|glyceraldehyde-3-phosphate dehydrogenase-like 7, pseudogene"
"MAPT-AS1","","MAPT antisense RNA 1","MAPT antisense RNA 1 (non-protein coding)"
"LOC100128988","","uncharacterized LOC100128988",""
"LOC100128993","","uncharacterized LOC100128993",""
"C20orf181","dJ824A14.1","chromosome 20 open reading frame 181","tissue plasminogen activator"
"LOC100129029","","uncharacterized LOC100129029",""
"LOC100129034","","uncharacterized LOC100129034",""
"IQCF5-AS1","","IQCF5 antisense RNA 1","IQCF5 antisense RNA 1 (non-protein coding)"
"LOC100129069","","uncharacterized LOC100129069",""
"LOC100129098","","serine/arginine repetitive matrix protein 2-like",""
"LOC100129103","","similar to hCG2038970",""
"LOC100129104","","uncharacterized LOC100129104",""
"LOC100129112","","uncharacterized LOC100129112",""
"LOC100129122","","hypothetical LOC100129122",""
"KHDC1L","","KH homology domain containing 1-like","RP11-257K9.7|putative KHDC1-like protein"
"LOC100129129","","uncharacterized LOC100129129",""
"LOC100129175","","uncharacterized LOC100129175",""
"ZSCAN16-AS1","","ZSCAN16 antisense RNA 1",""
"MATN1-AS1","","MATN1 antisense RNA 1","MATN1 antisense RNA 1 (non-protein coding)"
"LOC100129198","","PRO2866",""
"CXorf51A","CXorf51","chromosome X open reading frame 51A","uncharacterized protein LOC100129239"
"TOPORS-AS1","C9orf133","TOPORS antisense RNA 1","TOPORS antisense RNA 1 (non-protein coding)"
"LOC100129268","","uncharacterized LOC100129268",""
"C1orf68","LEP7, XP32","chromosome 1 open reading frame 68","skin-specific protein (xp32)|skin-specific protein 32"
"LOC100129282","","hypothetical LOC100129282",""
"LOC100129309","","similar to DnaJ (Hsp40) homolog, subfamily B, member 7",""
"LOC100129335","","leucine-rich repeat-containing protein ENSP00000371558",""
"SMIM10L1","","small integral membrane protein 10 like 1","chromosome X open reading frame 69-like|uncharacterized protein LOC100129361"
"LOC100129380","","uncharacterized LOC100129380",""
"GABPB1-AS1","","GABPB1 antisense RNA 1","GABPB1 antisense RNA 1 (non-protein coding)"
"LOC100129406","","uncharacterized LOC100129406",""
"DDC-AS1","","DDC antisense RNA 1",""
"LOC100129436","","hypothetical LOC100129436",""
"LOC100129447","","uncharacterized LOC100129447",""
"LOC100129449","","PRO2055",""
"LOC100129455","","uncharacterized LOC100129455",""
"DPY19L1P1","","DPY19L1 pseudogene 1","dpy-19-like 1 pseudogene 1|dpy-19-like 2 pseudogene"
"LOC100129461","","uncharacterized LOC100129461",""
"LOC100129463","","uncharacterized LOC100129463",""
"LOC100129476","","uncharacterized LOC100129476",""
"ZNF37BP","KOX21, ZNF37B","zinc finger protein 37B, pseudogene","zinc finger protein 37b (KOX 21)"
"PP13","","vegetative cell wall protein gp1",""
"LOC100129510","","hypothetical protein LOC100129510",""
"LOC100129550","","uncharacterized LOC100129550",""
"LINC00462","","long intergenic non-protein coding RNA 462",""
"LOC100129603","","uncharacterized LOC100129603",""
"LOC100129617","","uncharacterized LOC100129617",""
"LOC100129620","","uncharacterized LOC100129620",""
"LOC100129637","","uncharacterized LOC100129637",""
"LOC100129648","","uncharacterized LOC100129648",""
"TCF24","TCF-24, bHLHa25","transcription factor 24",""
"FGF13-AS1","","FGF13 antisense RNA 1","FGF13 antisense RNA 1 (non-protein coding)"
"ARRDC3-AS1","","ARRDC3 antisense RNA 1","ARRDC3 antisense RNA 1 (non-protein coding)"
"C9orf173-AS1","","C9orf173 antisense RNA 1",""
"LINC01126","","long intergenic non-protein coding RNA 1126",""
"LOC100129767","","transmembrane protein 180-like",""
"CCDC152","CH5400","coiled-coil domain containing 152","coiled-coil domain-containing protein 152"
"SLC25A21-AS1","","SLC25A21 antisense RNA 1",""
"MRVI1-AS1","","MRVI1 antisense RNA 1","MRVI1 antisense RNA 1 (non-protein coding)"
"PCOLCE-AS1","","PCOLCE antisense RNA 1","PCOLCE antisense RNA 1 (non-protein coding)"
"LOC100129852","","uncharacterized LOC100129852",""
"SCOC-AS1","","SCOC antisense RNA 1",""
"LOC100129884","","uncharacterized LOC100129884","uncharacterized protein LOC100129884"
"LOC100129890","","hypothetical LOC100129890",""
"LOC100129895","","hypothetical protein LOC100129895",""
"LOC100129907","","hypothetical LOC100129907",""
"LOC100129917","","uncharacterized LOC100129917",""
"LOC100129935","","lectin, galactoside-binding, soluble, 14 pseudogene",""
"CCNT2-AS1","","CCNT2 antisense RNA 1",""
"LOC100129973","","uncharacterized LOC100129973",""
"LOC100130054","","hypothetical LOC100130054",""
"LOC100130078","","uncharacterized LOC100130078",""
"KIF28P","KLP-6","kinesin family member 28, pseudogene","kinesin-like protein family member 6-like"
"LOC100130111","","uncharacterized LOC100130111",""
"MIR124-2HG","LINC00966","MIR124-2 host gene","MIR124-2 host gene (non-protein coding)|long intergenic non-protein coding RNA 966"
"LOC100130175","","uncharacterized LOC100130175",""
"LOC100130219","","uncharacterized LOC100130219",""
"LOC100130232","","LP2209",""
"PP2672","","uncharacterized LOC100130249",""
"LOC100130264","","uncharacterized LOC100130264",""
"TFAP2A-AS1","","TFAP2A antisense RNA 1",""
"LOC100130278","","uncharacterized LOC100130278",""
"LOC100130285","","uncharacterized LOC100130285",""
"LOC100130288","","hypothetical LOC100130288",""
"GAFA2","","FGF-2 activity-associated protein 2",""
"LOC100130331","","POTE ankyrin domain family, member F pseudogene",""
"LOC100130353","","hippocampus abundant transcript-like 1 pseudogene",""
"LOC100130354","","uncharacterized LOC100130354",""
"LOC100130357","","uncharacterized LOC100130357","uncharacterized protein LOC100130357"
"LOC100130360","","hypothetical LOC100130360",""
"LOC100130417","","uncharacterized LOC100130417",""
"CECR7","SAHL1","cat eye syndrome chromosome region, candidate 7 (non-protein coding)",""
"LOC100130428","","IGYY565",""
"LOC100130429","","uncharacterized LOC100130429",""
"PP14571","","uncharacterized LOC100130449",""
"LOC100130452","","uncharacterized LOC100130452",""
"LOC100130456","","uncharacterized LOC100130456",""
"LOC100130458","","uncharacterized LOC100130458",""
"CAND1.11","","uncharacterized LOC100130460",""
"LOC100130468","","uncharacterized LOC100130468",""
"LOC100130502","","uncharacterized LOC100130502",""
"TMEM221","","transmembrane protein 221","Putative transmembrane protein ENSP00000342162"
"PARD6G-AS1","","PARD6G antisense RNA 1","PARD6G antisense RNA 1 (non-protein coding)"
"LOC100130548","","uncharacterized LOC100130548",""
"NFYC-AS1","0808y08y","NFYC antisense RNA 1",""
"LINC00910","","long intergenic non-protein coding RNA 910","CTD-3014M21.4"
"PP12708","","uncharacterized LOC100130609",""
"PRR32","CXorf64","proline rich 32","proline-rich protein 32"
"LOC100130642","","uncharacterized LOC100130642",""
"LOC100130654","","uncharacterized LOC100130654",""
"LOC100130691","","uncharacterized LOC100130691",""
"LOC100130700","","uncharacterized LOC100130700",""
"LOC100130705","","uncharacterized LOC100130705","uncharacterized protein LOC100130705"
"CECR5-AS1","CECR4, NCRNA00017","CECR5 antisense RNA 1","CECR5 antisense RNA 1 (non-protein coding)|cat eye syndrome chromosome region, candidate 4 (non-protein coding)"
"LOC100130741","","uncharacterized LOC100130741",""
"LRRC69","","leucine rich repeat containing 69","leucine-rich repeat-containing protein 69"
"LOC100130744","","uncharacterized LOC100130744",""
"AGAP2-AS1","PUNISHER","AGAP2 antisense RNA 1",""
"LOC100130815","","uncharacterized LOC100130815",""
"LOC100130837","","hypothetical LOC100130837",""
"USP3-AS1","","USP3 antisense RNA 1",""
"LOC100130856","","uncharacterized LOC100130856",""
"LOC100130872","","uncharacterized LOC100130872",""
"PSORS1C3","NCRNA00196","psoriasis susceptibility 1 candidate 3 (non-protein coding)",""
"VAC14-AS1","","VAC14 antisense RNA 1",""
"LOC100130911","","hypothetical LOC100130911",""
"SMIM6","C17orf110","small integral membrane protein 6",""
"ZNF663P","ZNF663","zinc finger protein 663, pseudogene",""
"LOC100130938","","uncharacterized LOC100130938",""
"LOC100130950","","uncharacterized LOC100130950",""
"SYCE1L","MRP2","synaptonemal complex central element protein 1-like","meiosis-related protein"
"C6orf99","yR211F11.1","chromosome 6 open reading frame 99","putative uncharacterized protein C6orf99"
"LOC100130987","","uncharacterized LOC100130987",""
"LOC100130992","","uncharacterized LOC100130992",""
"LOC100130998","","hypothetical protein LOC100130998",""
"HDAC6","CPBHM, HD6, JM21, PPP1R90","histone deacetylase 6","protein phosphatase 1, regulatory subunit 90"
"LOC100131015","","uncharacterized LOC100131015",""
"ZNF316","ENST00000305834, MZF-3","zinc finger protein 316",""
"LOC100131043","","uncharacterized LOC100131043",""
"LOC100131053","","uncharacterized LOC100131053",""
"CKMT2-AS1","","CKMT2 antisense RNA 1","CTC-281B15.1"
"OK/SW-CL.36","","OK/SW-CL.36",""
"TNRC6C-AS1","","TNRC6C antisense RNA 1",""
"LOC100131112","","hypothetical LOC100131112",""
"ZBTB20-AS1","","ZBTB20 antisense RNA 1","ZBTB20 antisense RNA 1 (non-protein coding)"
"LINC01405","","long intergenic non-protein coding RNA 1405",""
"LOC100131170","","uncharacterized LOC100131170",""
"WDR86-AS1","","WDR86 antisense RNA 1","WDR86 antisense RNA 1 (non-protein coding)"
"LOC100131180","","uncharacterized LOC100131180",""
"TSTD1","KAT","thiosulfate sulfurtransferase (rhodanese)-like domain containing 1","putative thiosulfate sulfurtransferase KAT|thiosulfate sulfurtransferase KAT, putative|thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1"
"LOC100131199","","transmembrane protein 178-like",""
"LOC100131199","","transmembrane protein 178-like",""
"NEMP2","TMEM194B","nuclear envelope integral membrane protein 2","UPF0571 transmembrane protein|transmembrane protein 194B"
"ZNF503-AS2","C10orf41, NCRNA00245","ZNF503 antisense RNA 2","ZNF503 antisense RNA 2 (non-protein coding)"
"GAFA1","","FGF2-associated protein GAFA1",""
"LOC100131262","","uncharacterized LOC100131262",""
"NSAP11","","nervous system abundant protein 11",""
"LOC100131283","","uncharacterized LOC100131283",""
"LOC100131298","","PRO1095",""
"LOC100131303","","uncharacterized LOC100131303","CTC-479C5.6|uncharacterized protein LOC100131303"
"LOC100131316","","uncharacterized LOC100131316",""
"LOC100131347","","RAD52 motif containing 1 pseudogene","RAD52 motif 1 pseudogene"
"LOC100131354","","uncharacterized LOC100131354",""
"LINC00605","","long intergenic non-protein coding RNA 605",""
"LINC00893","","long intergenic non-protein coding RNA 893","gene W"
"DBIL5P","ELP2P","diazepam binding inhibitor-like 5, pseudogene","endozepine-like peptide 2 pseudogene"
"LOC100131496","","uncharacterized LOC100131496",""
"LOC100131508","","PRO2122",""
"LOC100131510","","uncharacterized LOC100131510",""
"LOC100131532","","uncharacterized LOC100131532",""
"BPA-1","","brain peptide A1",""
"LOC100131541","","uncharacterized LOC100131541",""
"LINC00887","","long intergenic non-protein coding RNA 887",""
"FKSG29","","FKSG29",""
"LOC100131564","","uncharacterized LOC100131564",""
"LOC100131581","","uncharacterized LOC100131581",""
"LOC100131607","","uncharacterized LOC100131607",""
"LOC100131642","","PP5241",""
"LOC100131655","","uncharacterized LOC100131655",""
"LOC100131662","","uncharacterized LOC100131662",""
"MZF1-AS1","","MZF1 antisense RNA 1",""
"USP30-AS1","","USP30 antisense RNA 1","USP30 antisense RNA 1 (non-protein coding)"
"ARMCX4","CXorf35, GASP4","armadillo repeat containing, X-linked 4","armadillo repeat containing, X-linked 4 pseudogene|armadillo repeat-containing X-linked protein 4"
"LOC100131756","","uncharacterized LOC100131756",""
"LOC100131763","","uncharacterized LOC100131763",""
"OK/SW-CL.58","","OK/SW-CL.58",""
"C14orf164","","chromosome 14 open reading frame 164","RING finger protein C14orf164"
"PET100","C19orf79","PET100 homolog (S. cerevisiae)","protein PET100 homolog, mitochondrial"
"LINC00271","C6orf217, NCRNA00271","long intergenic non-protein coding RNA 271",""
"UBE2DNL","","ubiquitin-conjugating enzyme E2D N-terminal like (pseudogene)",""
"CADM3-AS1","","CADM3 antisense RNA 1","CTA-134P22.2"
"LOC100131860","","uncharacterized LOC100131860",""
"LOC100131864","","uncharacterized LOC100131864",""
"LOC100131941","","hypothetical LOC100131941",""
"ZNF705G","","zinc finger protein 705G","putative zinc finger protein 705G"
"LOC100131993","","similar to hCG2020760",""
"FAM27E3","","family with sequence similarity 27, member E3",""
"RRN3P3","","RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 3","RRN3 RNA polymerase I transcription factor homolog pseudogene"
"LOC100132005","","uncharacterized LOC100132005",""
"LOC100132025","","transmembrane domain-containing protein ENSP00000320207-like","Putative transmembrane domain-containing protein ENSP00000320207"
"LOC100132051","","hypothetical LOC100132051",""
"FOXO6","","forkhead box O6","forkhead box protein O6"
"LOC100132077","","uncharacterized LOC100132077",""
"LOC100132078","","uncharacterized LOC100132078",""
"LOC100132080","","hypothetical LOC100132080","putative uncharacterized protein FLJ40140-like"
"HERC2P7","","hect domain and RLD 2 pseudogene 7",""
"ACTA2-AS1","ZXF1, uc001kfo.1","ACTA2 antisense RNA 1",""
"LOC100132147","","uncharacterized LOC100132147",""
"LOC100132167","","uncharacterized LOC100132167",""
"FKSG41","","similar to hCG2008275",""
"LOC100132207","","uncharacterized LOC100132207",""
"LINC00543","","long intergenic non-protein coding RNA 543","uncharacterized protein LOC100132234"
"KIR2DS2","183ActI, CD158J, CD158b, NKAT-5, NKAT5, cl-49","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2","CD158 antigen-like family member J|MHC class I NK cell receptor|NK receptor 183 ActI|killer cell immunoglobulin-like receptor 2DS2|killer-cell Ig-like receptor|killer-cell immunoglobulin-like receptor two domains short tail 2 protein|natural killer associated transcript 5|natural killer cell inhibitory receptor|p58 killer cell inhibitory receptor KIR-K7a|p58 natural killer cell receptor clone CL-49"
"TEKT4P2","MAFIPL, TEKT4P","tektin 4 pseudogene 2","Tektin-4 like protein LOC389833"
"LOC100132319","","uncharacterized LOC100132319",""
"CLUHP3","C16orf67, KIAA0664L3, KIAA0664P3, URLC3","clustered mitochondria (cluA/CLU1) homolog pseudogene 3","KIAA0664-like 3|up-regulated in lung cancer 3"
"LOC100132345","","hypothetical LOC100132345",""
"LINC01512","HI-LNC77","long intergenic non-protein coding RNA 1512","Human Islet Long Non Coding RNA 77|TCONS_00011120"
"LOC100132356","","uncharacterized LOC100132356",""
"LOC100132369","","hypothetical LOC100132369",""
"NBPF10","AB6, AG1, NBPF9","neuroblastoma breakpoint family, member 10","neuroblastoma breakpoint family member 10"
"LOC100132460","","hypothetical protein LOC100132460",""
"KRTAP4-7","KAP4.7, KRTAP4.7","keratin associated protein 4-7","Ultrahigh sulfur keratin-associated protein 4.7|putative keratin-associated protein 4-X"
"LOC100132570","","chromosome 17 open reading frame 58 pseudogene",""
"XGY2","XG, XGPY, XGPY2","Xg pseudogene, Y-linked 2","Xg blood group pseudogene"
"ZRANB2-AS1","","ZRANB2 antisense RNA 1","ZRANB2 antisense RNA 1 (non-protein coding)"
"LOC100132661","","PRO0419",""
"LOC100132686","","uncharacterized LOC100132686",""
"PAXIP1-AS2","PAXIP1OS","PAXIP1 antisense RNA 2","PAXIP1 opposite strand"
"CYP4F30P","C2orf14","cytochrome P450, family 4, subfamily F, polypeptide 30, pseudogene","4F-se9[6:7:8]"
"LOC100132735","","uncharacterized LOC100132735",""
"LOC100132741","","uncharacterized LOC100132741",""
"IPO5P1","","importin 5 pseudogene 1",""
"PMS2P9","PMS2L17, PMS2LP1, PMSR5","postmeiotic segregation increased 2 pseudogene 9","PMS2 postmeiotic segregation increased 2 pseudogene|postmeiotic segregation increased 2-like 17|postmeiotic segregation increased 2-like pseudogene 1"
"LOC100132884","","uncharacterized LOC100132884",""
"MSC-AS1","","MSC antisense RNA 1",""
"DPH3P1","C20orf143, DPH3B, ZCSL1","diphthamide biosynthesis 3 pseudogene 1","CSL-type zinc finger-containing protein 1|DPH3 homolog B (KTI11, S. cerevisiae)|putative DPH3 homolog B|zinc finger, CSL domain containing 1"
"FAM66D","","family with sequence similarity 66, member D",""
"FAM223A","CXorf52, LINC00204A, NCRNA00204, NCRNA00204A, SPCX","family with sequence similarity 223, member A (non-protein coding)","long intergenic non-protein coding RNA 204A"
"LINC00856","","long intergenic non-protein coding RNA 856",""
"LOC100132999","","uncharacterized LOC100132999",""
"LOC100133039","","uncharacterized LOC100133039",""
"LOC100133089","","uncharacterized LOC100133089",""
"LOC100133116","","similar to uromodulin-like",""
"LOC100133130","","PRO1102",""
"LOC100133131","","uncharacterized LOC100133131",""
"ZNF865","","zinc finger protein 865",""
"LINC00240","C6orf41, NCRNA00240, bA373D17.1","long intergenic non-protein coding RNA 240",""
"RSU1P2","","Ras suppressor protein 1 pseudogene 2",""
"PRO1804","","uncharacterized LOC100133319",""
"KLF17P1","","Kruppel-like factor 17 pseudogene 1",""
"LOC100133461","","uncharacterized LOC100133461",""
"LINC01134","","long intergenic non-protein coding RNA 1134",""
"LOC100133660","","hypothetical LOC100133660",""
"LOC100133669","","uncharacterized LOC100133669",""
"MUC3","","intestinal mucin-like",""
"LOC100133920","","uncharacterized LOC100133920",""
"CD24","CD24A","CD24 molecule","CD24 antigen (small cell lung carcinoma cluster 4 antigen)|signal transducer CD24"
"LOC100133985","","uncharacterized LOC100133985",""
"MAP3K14-AS1","","MAP3K14 antisense RNA 1",""
"LOC100134040","","uncharacterized LOC100134040",""
"JHDM1D-AS1","","JHDM1D antisense RNA 1 (head to head)",""
"LINC01119","","long intergenic non-protein coding RNA 1119",""
"LOC100134361","","uncharacterized LOC100134361",""
"LOC100134368","","uncharacterized LOC100134368",""
"LOC100134445","","uncharacterized LOC100134445",""
"NDUFB2-AS1","","NDUFB2 antisense RNA 1","NDUFB2 antisense RNA 1 (non-protein coding)"
"LOC100134822","","uncharacterized LOC100134822",""
"TEN1","C17orf106","TEN1 CST complex subunit","CST complex subunit TEN1|TEN1 telomerase capping complex subunit homolog|protein telomeric pathways with STN1 homolog|telomere length regulation protein TEN1 homolog|telomeric pathways in association with Stn1, number 1"
"LOC100134937","","uncharacterized LOC100134937",""
