"id","alias","descrip","other"
"ZNF34","KOX32","zinc finger protein 34","zinc finger protein 34 (KOX 32)|zinc finger protein KOX32"
"USP5","ISOT","ubiquitin specific peptidase 5 (isopeptidase T)","deubiquitinating enzyme 5|isopeptidase T|ubiquitin carboxyl-terminal hydrolase 5|ubiquitin isopeptidase T|ubiquitin specific protease 5 (isopeptidase T)|ubiquitin thioesterase 5|ubiquitin thiolesterase 5|ubiquitin-specific protease-5 (ubiquitin isopeptidase T)|ubiquitin-specific-processing protease 5"
"COL18A1","KNO, KNO1, KS","collagen, type XVIII, alpha 1","antiangiogenic agent|collagen alpha-1(XVIII) chain|endostatin|multi-functional protein MFP"
"INTS5","INT5, KIAA1698","integrator complex subunit 5",""
"CMIP","TCMIP","c-Maf inducing protein","C-Maf-inducing protein|tc-Mip"
"MLF2","NTN4","myeloid leukemia factor 2","myelodysplasia-myeloid leukemia factor 2"
"CALM3","HEL-S-72, PHKD, PHKD3","calmodulin 3 (phosphorylase kinase, delta)","caM|calmodulin|epididymis secretory protein Li 72|prepro-calmodulin 3"
"ASXL3","BRPS, KIAA1713","additional sex combs like transcriptional regulator 3","additional sex combs like 3|additional sex combs-like protein 3|putative Polycomb group protein ASXL3"
"CEP44","KIAA1712, PS1TP3","centrosomal protein 44kDa","HBV PreS1-transactivated protein 3|centrosomal protein of 44 kDa"
"ZNF436","ZNF, Zfp46","zinc finger protein 436","DNA-binding protein"
"EEPD1","HSPC107","endonuclease/exonuclease/phosphatase family domain containing 1","endonuclease/exonuclease/phosphatase family domain-containing protein 1"
"SSPN","DAGA5, KRAG, NSPN, SPN1, SPN2","sarcospan","K-ras oncogene-associated protein|Kras oncogene-associated|kirsten-ras-associated protein|microspan|nanospan|sarcospan (Kras oncogene-associated gene)"
"DDHD1","PA-PLA1, PAPLA1, SPG28","DDHD domain containing 1","DDHD domain-containing protein 1|phosphatidic acid-preferring phospholipase A1 homolog|phosphatidic acid-preferring phospholipase A1-like protein|phospholipase DDHD1|spastic paraplegia 28 (autosomal recessive)"
"BHLHB9","GASP3, p60TRP","basic helix-loop-helix domain containing, class B, 9","p60-like protein|protein BHLHb9|transcription regulator of 60 kDa"
"DUSP16","MKP-7, MKP7","dual specificity phosphatase 16","MAP kinase phosphatase 7|MAPK phosphatase-7|dual specificity protein phosphatase 16|mitogen-activated protein kinase phosphatase 7"
"ZFP91","DMS-8, DSM-8, FKSG11, PZF, ZFP-91, ZNF757","ZFP91 zinc finger protein","E3 ubiquitin-protein ligase ZFP91|drug resistance-associated sequence in melanoma 8|penta zinc finger protein|zinc finger protein 757|zinc finger protein 91 homolog|zinc finger protein homologous to Zfp91 in mouse"
"APOL6","APOL-VI, APOLVI","apolipoprotein L, 6","apolipoprotein L-VI|apolipoprotein L6"
"APOL5","APOL-V, APOLV","apolipoprotein L, 5","apolipoprotein L-V|apolipoprotein L5"
"APOL4","APOL-IV, APOLIV","apolipoprotein L, 4","apolipoprotein L-IV|apolipoprotein L4"
"APOL3","APOLIII, CG121, CG12_1, apoL-III","apolipoprotein L, 3","TNF-inducible protein CG12-1|apolipoprotein L-III|apolipoprotein L3"
"TAS1R2","GPR71, T1R2, TR2","taste receptor, type 1, member 2","G protein-coupled receptor 71|G-protein coupled receptor 71|sweet taste receptor T1R2|taste receptor type 1 member 2"
"TAS1R1","GM148, GPR70, T1R1, TR1","taste receptor, type 1, member 1","G protein-coupled receptor 70|G-protein coupled receptor 70|seven transmembrane helix receptor|taste receptor type 1 member 1"
"KMT2D","AAD10, ALR, CAGL114, KABUK1, KMS, MLL2, MLL4, TNRC21","lysine (K)-specific methyltransferase 2D","ALL1-related protein|Kabuki make-up syndrome|Kabuki mental retardation syndrome|histone-lysine N-methyltransferase 2D|histone-lysine N-methyltransferase MLL2|lysine N-methyltransferase 2D|myeloid/lymphoid or mixed-lineage leukemia 2|trinucleotide repeat containing 21"
"SH3BP5L","","SH3-binding domain protein 5-like","SH3 domain-binding protein 5-like|SH3BP-5-like"
"GRIP2","","glutamate receptor interacting protein 2","glutamate receptor-interacting protein 2"
"KDM7A","JHDM1D","lysine (K)-specific demethylase 7A","histone lysine demethylase JHDM1D|jmjC domain-containing histone demethylation protein 1D|jumonji C domain containing histone demethylase 1 homolog D|jumonji C domain-containing histone demethylase 1 homolog D|lysine-specific demethylase 7|lysine-specific demethylase 7A"
"SETD7","KMT7, SET7, SET7/9, SET9","SET domain containing (lysine methyltransferase) 7","H3-K4-HMTase SETD7|SET domain-containing protein 7|histone H3-K4 methyltransferase SETD7|histone H3-lysine 4-specific methyltransferase|histone-lysine N-methyltransferase SETD7|lysine N-methyltransferase 7"
"KIAA1715","LNP, LNP1, Ul, ulnaless","KIAA1715","2310011O18Rik|4921514L11Rik|Lunapark|limb and neural patterns|protein lunapark"
